Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
COST.OQ,Costco Wholesale Corp,Consumer Staples Distribution & Retail,NASDAQ/NGS (GLOBAL SELECT MARKET),69831000000.0,68994000000.0,64166000000.0,59268000000.0,55556000000.0,45400000000.0,40830000000.0,36347000000.0,33163000000.0,33017000000.0,33024000000.0,30283000000.0,27140000000.0,26761000000.0,23815000000.0,21979000000.0,20682348000.0,19606586000.0,17495070000.0,16665205000.0
DXCM.OQ,Dexcom Inc,Health Care Equipment & Supplies,NASDAQ/NGS (GLOBAL SELECT MARKET),6264500000.0,5391700000.0,4933300000.0,4290500000.0,2395000000.0,1916000000.0,904100000.0,402800000.0,292000000.0,184600000.0,122500000.0,106000000.0,120475000.0,77164000.0,46948000.0,43882000.0,77259000.0,64552000.0,56726000.0,29357000.0
DLTR.OQ,Dollar Tree Inc,Consumer Staples Distribution & Retail,NASDAQ/NGS (GLOBAL SELECT MARKET),22023500000.0,23022100000.0,21721800000.0,20696000000.0,19574600000.0,13501200000.0,16332800000.0,15701600000.0,15901200000.0,3492700000.0,2771900000.0,2752000000.0,2328600000.0,2380500000.0,2289700000.0,2035700000.0,1787700000.0,1882200000.0,1798400000.0,1792672000.0
EA.OQ,Electronic Arts Inc,Entertainment,NASDAQ/NGS (GLOBAL SELECT MARKET),13420000000.0,13459000000.0,13800000000.0,13288000000.0,11112000000.0,8957000000.0,8584000000.0,7718000000.0,7050000000.0,6147000000.0,5716000000.0,5070000000.0,5491000000.0,4928000000.0,4646000000.0,4678000000.0,6059000000.0,5146000000.0,4386000000.0,4370000000.0
EXC.OQ,Exelon Corp,Electric Utilities,NASDAQ/NGS (GLOBAL SELECT MARKET),101546000000.0,95349000000.0,133013000000.0,129317000000.0,124977000000.0,119634000000.0,116770000000.0,114904000000.0,95384000000.0,86416000000.0,79924000000.0,78561000000.0,54995000000.0,52240000000.0,49180000000.0,47546000000.0,45361000000.0,44319000000.0,42797000000.0,42724000000.0
FAST.OQ,Fastenal Co,Trading Companies & Distributors,NASDAQ/NGS (GLOBAL SELECT MARKET),4462900000.0,4548600000.0,4299000000.0,3964700000.0,3799900000.0,3321500000.0,2910500000.0,2668884000.0,2532462000.0,2359102000.0,2075784000.0,1815832000.0,1684948000.0,1468283000.0,1327358000.0,1304149000.0,1163061000.0,1039016000.0,890035000.0,775362000.0
GILD.OQ,Gilead Sciences Inc,Biotechnology,NASDAQ/NGS (GLOBAL SELECT MARKET),62125000000.0,63171000000.0,67952000000.0,68407000000.0,61627000000.0,63675000000.0,70283000000.0,56977000000.0,51716000000.0,34664000000.0,22579000000.0,21239838000.0,17303134000.0,11592630000.0,9698559000.0,6936831000.0,5834716000.0,4085981000.0,3766316000.0,2155963000.0
HON.OQ,Honeywell International Inc,Industrial Conglomerates,NASDAQ/NGS (GLOBAL SELECT MARKET),61525000000.0,62275000000.0,64470000000.0,64586000000.0,58679000000.0,57773000000.0,59470000000.0,54146000000.0,49316000000.0,45451000000.0,45435000000.0,41853000000.0,39808000000.0,37834000000.0,35993000000.0,35490000000.0,33805000000.0,30941000000.0,31633000000.0,31062000000.0
IDXX.OQ,IDEXX Laboratories Inc,Health Care Equipment & Supplies,NASDAQ/NGS (GLOBAL SELECT MARKET),3259925000.0,2746765000.0,2437203000.0,2294561000.0,1832475000.0,1537349000.0,1713416000.0,1530704000.0,1474993000.0,1384211000.0,1230516000.0,1103602000.0,1030814000.0,897144000.0,808527000.0,765437000.0,702179000.0,559560000.0,490676000.0,514237000.0
ILMN.OQ,Illumina Inc,Life Sciences Tools & Services,NASDAQ/NGS (GLOBAL SELECT MARKET),10111000000.0,12252000000.0,15217000000.0,7585000000.0,7316000000.0,6959000000.0,5257000000.0,4280600000.0,3687747000.0,3339640000.0,3019006000.0,2566085000.0,2195840000.0,1839113000.0,1429937000.0,1327171000.0,987732000.0,300584000.0,100610000.0,94907000.0
INTC.OQ,Intel Corp,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),191572000000.0,182103000000.0,168406000000.0,153091000000.0,136524000000.0,127963000000.0,123249000000.0,113327000000.0,101459000000.0,91900000000.0,92358000000.0,84351000000.0,71119000000.0,63186000000.0,53095000000.0,50472000000.0,55651000000.0,48368000000.0,48314000000.0,48143000000.0
INTU.OQ,Intuit Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),32132000000.0,27780000000.0,27734000000.0,15516000000.0,10931000000.0,6283000000.0,5134000000.0,4068000000.0,4250000000.0,4968000000.0,5201000000.0,5486000000.0,4684000000.0,5110000000.0,5198000000.0,4826000000.0,4666584000.0,4252026000.0,2770027000.0,2716451000.0
ISRG.OQ,Intuitive Surgical Inc,Health Care Equipment & Supplies,NASDAQ/NGS (GLOBAL SELECT MARKET),15441500000.0,12974000000.0,13555000000.0,11168900000.0,9733200000.0,7846700000.0,5776800000.0,6486900000.0,4907300000.0,3959400000.0,3950300000.0,4059200000.0,3063100000.0,2390400000.0,1809700000.0,1474624000.0,1039998000.0,671790000.0,501587000.0,354229000.0
KLAC.OQ,KLA Corp,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),15433566000.0,14072357000.0,12597088000.0,10271124000.0,9279960000.0,9008516000.0,5638619000.0,5532173000.0,4962432000.0,4826012000.0,5535846000.0,5287357000.0,5100308000.0,4675521000.0,3907056000.0,3609538000.0,4848390000.0,4623249000.0,4575911000.0,4040603000.0
LRCX.OQ,Lam Research Corp,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),18744728000.0,18781643000.0,17195632000.0,15892152000.0,14559047000.0,12001333000.0,12479478000.0,12122765000.0,12264315000.0,9364648000.0,7993306000.0,7250315000.0,8004652000.0,4053867000.0,2487392000.0,1993184000.0,2806755000.0,2101605000.0,2327382000.0,1448815000.0
