Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BALN.S,Baloise Holding AG,Insurance,SIX SWISS EXCHANGE,0.0036,0.00653,0.011160000000000002,0.01226,0.00557,,,0.0009,0.0060999999999999995,0.0060999999999999995,0.009170000000000001,0.006500000000000001,0.0067,0.00664,0.0063,0.008199999999999999,0.005,0.0066,,
BAMI.MI,Banco BPM SpA,Banks,ELECTRONIC SHARE MARKET,0.008199999999999999,0.0105,0.01599,0.00729,0.0028199999999999996,0.00197,0.00227,0.0040999999999999995,0.0011,-0.0036,,0.0036,-0.0092,-0.0012,-0.0004,0.0049,0.0001,0.003,0.0045000000000000005,0.006500000000000001
BBVA.MC,Banco Bilbao Vizcaya Argentaria SA,Banks,BOLSA DE MADRID,0.0105,0.0105,0.011779999999999999,0.011819999999999999,0.01035,0.0104,0.0089,0.0079,0.008100000000000001,0.0064,0.005,0.0046,0.00469,0.006500000000000001,0.0091,0.006999999999999999,0.0043,0.0072,0.0096,0.0108
SAN.MC,Banco Santander SA,Banks,BOLSA DE MADRID,0.0068000000000000005,0.0070999999999999995,0.00758,0.00916,0.00905,0.00805,0.0076,0.005,0.0024,0.0044,0.006,0.005,0.005600000000000001,0.0048,0.0064,0.0044,0.004,0.0052,0.005699999999999999,0.0063
SABE.MC,Banco de Sabadell SA,Banks,BOLSA DE MADRID,0.009000000000000001,0.0092,0.0091,0.01046,0.008579999999999999,0.0064,0.0044,0.0024,0.0007000000000000001,0.0016,0.00227,0.0038,0.0034999999999999996,0.0038,0.0015,0.0034000000000000002,1e-05,0.0022,0.0034000000000000002,0.0055000000000000005
POLI.TA,Bank Hapoalim BM,Banks,TEL AVIV STOCK EXCHANGE,0.006999999999999999,0.010860000000000002,0.00885,0.00795,-0.00294,0.00425,,0.008100000000000001,0.0069,0.006999999999999999,0.006999999999999999,0.0073,0.006,0.0059,0.005699999999999999,0.0039000000000000003,0.0040999999999999995,0.0083,0.01,0.0109
LUMI.TA,Bank Leumi Le Israel BM,Banks,TEL AVIV STOCK EXCHANGE,0.0076,0.0077,0.00513,0.010089999999999998,0.0003,0.00617,0.00732,0.005,0.0025,0.0039000000000000003,0.0039000000000000003,0.006999999999999999,,0.0070999999999999995,0.00715,0.0076,0.0039000000000000003,0.009899999999999999,0.011399999999999999,0.0098
BAC.N,Bank of America Corp,Banks,"NEW YORK STOCK EXCHANGE, INC.",0.013500000000000002,0.013300000000000001,0.0148,0.0087,0.0014000000000000002,-0.001,0.0045000000000000005,0.0006,0.0019,0.0053,0.0022,0.0070999999999999995,0.0077,0.009300000000000001,0.0116,0.0109,0.0067,0.0105,0.0084,0.009300000000000001
BIRG.I,Bank of Ireland Group PLC,Banks,IRISH STOCK EXCHANGE - ALL MARKET,,,,,,,-0.017920000000000002,-0.00893,-0.00884,-0.0038,0.0049,0.0074,0.006500000000000001,0.006,0.005,0.0044,-0.0031,0.0069,0.0060999999999999995,0.01034
BMO.TO,Bank of Montreal,Banks,TORONTO STOCK EXCHANGE,0.0086,,0.008100000000000001,0.0078000000000000005,0.005699999999999999,0.0059,0.0070999999999999995,0.0074,0.0078000000000000005,,0.0074,0.006999999999999999,0.0070999999999999995,0.0079,0.008100000000000001,0.0074,0.0055000000000000005,0.0087,0.0083,0.0070999999999999995
