Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AKAM.OQ,Akamai Technologies Inc,IT Services,NASDAQ/NGS (GLOBAL SELECT MARKET),,43.955710076857,35.7796202646907,38.8313903799458,20.9160412325289,21.8540651304274,26.1857414191078,31.6234125073192,26.1547577066025,42.3010677597765,42.6257232558361,48.2449744394519,58.0587241977242,65.3594960536758,61.3890468042617,51.8852667753773,56.8021948487212,63.0153538870773,74.2396674057193,70.4274661904899
ALVG.DE,Allianz SE,Insurance,XETRA,63.587411404763,73.5279657762417,72.5174380697728,77.9497085030936,80.1648047327073,84.5535640952555,83.1158219240552,86.1254329710778,84.3643132660458,88.6722431473691,86.1178813086929,88.4617112179262,86.6479008090247,86.1181686154901,94.9375239549903,93.7754417621243,93.4120129745318,91.3615747871345,89.4116695693001,88.3144266079174
ALL.N,Allstate Corp,Insurance,"NEW YORK STOCK EXCHANGE, INC.",46.4643238921677,51.0142400375921,55.228424106214,47.7740451030705,54.1262963791409,77.6781332020217,79.2581738853108,76.0848405205224,76.57947589263,75.1274754545071,81.2871669677543,82.3770844884751,77.0443090953872,77.7349087788646,82.3127849563517,69.5849125023278,74.8736518242717,70.7167240280407,67.7623234737785,76.1623273286884
ALLY.N,Ally Financial Inc,Consumer Finance,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,,22.184289918283,25.6998806099639,45.0308206729206,46.8793560166317,52.7279884423376,53.418382369642,52.6249806548259,51.276234917962,51.2052283990802
AXP.N,American Express Co,Consumer Finance,"NEW YORK STOCK EXCHANGE, INC.",45.9495030814502,47.6978428638301,46.4497464658096,49.0826478516164,58.3370713985717,56.9423094651769,59.7390501772557,47.8713645041141,47.1872159911127,47.2401747653421,49.4633588400286,51.1560754110126,51.4350019995758,67.8013363722672,72.835929154622,72.438057808567,78.5885746638788,75.0032126777503,68.4361026246562,69.0601198976135
AFG.N,American Financial Group Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",,,,,,23.9557629983981,29.9359820350972,33.3855353971755,25.8489048994142,36.624676450606,42.6326494386704,35.7630719633488,34.2333900776918,38.1834685917516,38.1988887313207,37.2821267030904,40.5461834579044,36.7680936666925,36.3888075831607,40.3227351124736
AIG.N,American International Group Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",14.6439485811303,33.2861287323915,51.2468940883353,66.3947055897985,60.6290820522843,46.4820155659187,46.608615085482,31.8580630637731,33.478218734818,34.4964856918063,46.2082850039984,45.8806448242759,63.6311814981397,67.6875460408858,69.2463375430506,63.0202375409264,63.7754430743208,59.136774741014,67.460683092869,72.6521979165866
AMP.N,Ameriprise Financial Inc,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",,33.9638288707737,38.0565599945385,37.2234477776868,44.983500614826,42.8858004944177,42.5705031366472,40.9607384199449,46.3699892987641,45.1699252656993,62.0373084838833,61.8074096886269,67.0041978718772,65.388484856615,69.862803959537,67.5425965194612,78.5945820001799,78.5144507436819,79.7262556587791,76.0259595061599
APH.N,Amphenol Corp,"Electronic Equipment, Instruments & Components","NEW YORK STOCK EXCHANGE, INC.",23.826192129247,25.1448747119073,35.046197583511,19.450403585405,27.3848802028286,26.6017288769662,27.7034854370197,25.894438853282,23.1409621463978,22.2528751987305,29.8916855875543,22.9759490002897,57.12512027283,58.9059180670723,64.7408354521076,64.0929564826024,69.661254917824,70.901458630312,69.6063376374251,75.3621745274374
AMUN.PA,Amundi SA,Capital Markets,EURONEXT - EURONEXT PARIS,,,,,,,,,,,,,37.1021675937811,46.2987775052609,56.6095640736489,51.1498720629002,59.6648586526966,57.5387186847502,57.7285980906788,57.3846143272186
ADI.OQ,Analog Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),,28.3237518407281,43.1386995528246,44.54181393388,47.823962014224,78.7676574143516,74.4794087247735,75.8332848067883,71.4736778619043,79.8725366139633,77.2508058927006,74.5674378586484,69.8796945491776,71.8419514234517,76.7575577795304,72.0595840099283,72.951131547797,74.3024460633779,68.3981398511078,68.9043629739622
NLY.N,Annaly Capital Management Inc,Mortgage Real Estate Investment Trusts (REITs),"NEW YORK STOCK EXCHANGE, INC.",,,,,19.514881450134,19.071572424493,26.762829704346,19.6150125003101,25.7273281232396,25.7461056167123,33.1862111323862,36.7714212341908,36.688288673199,40.2441586833802,39.3270482775029,37.0864582792082,53.1215655533258,59.6044126996944,61.6502187653628,63.5960717400309
AON.N,Aon PLC,Insurance,"NEW YORK STOCK EXCHANGE, INC.",44.1209763539283,48.1594924153028,43.3496320622758,35.6038890525737,45.7983350079123,46.5865207632924,56.9932375302194,49.8456537423929,57.8145074902489,54.0725094883033,58.5727559028569,56.5830743688528,47.6720220229358,50.1078274498844,50.9168976035617,50.4346763717229,62.4949283330114,57.9478861008273,58.2237758773837,64.9727855351384
APO.N,Apollo Global Management Inc,Financial Services,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,,,,,17.1146793035462,20.385635483923,32.1300282475315,39.850034985449,41.1240422979628,42.8657493890997
AAPL.OQ,Apple Inc,"Technology Hardware, Storage & Peripherals",NASDAQ/NGS (GLOBAL SELECT MARKET),,,51.7468919045658,44.975353646514,37.2803730571511,52.8189256206799,61.9335515995347,59.8853127051985,52.6378122002175,56.5544715637008,60.2998167054345,56.1742594117773,54.2146680994042,61.5580660504009,67.966002996612,71.1083321827924,68.9304278011879,76.8954413453158,82.214731912482,77.7315064321427
AMAT.OQ,Applied Materials Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),42.2091070499114,43.347908616365,54.9519507943595,47.3444260492714,70.0360774131587,66.4398187761159,70.8542894602167,74.7677289760319,73.0117196467308,66.5014426055466,61.1572696845408,61.7707933167838,64.6695954787322,69.5552269434868,76.2641859263061,80.8956884708806,78.9681062864928,78.6650251255257,82.6632347308951,85.9076254765833
APP.OQ,Applovin Corp,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),,,,,,,,,,,,,,,,,,,,
